Name,Age,Team,Price
Ki-Jana Hoever,23,Wolverhampton Wanderers,€5.8M
Freddie Potts,22,West Ham United,€5.8M
Tyler Fredricson,20,Manchester United,€5.6M
Bertrand Traoré,30,Sunderland AFC,€5.6M
Yunus Konak,19,Brentford FC,€5.4M
Fabian Schär,33,Newcastle United,€5.4M
Mark Travers,26,Everton FC,€5.3M
Dan Burn,33,Newcastle United,€5.1M
Harrison Reed,30,Fulham FC,€5M
Oliver Sonne,24,Burnley FC,€4.9M
Joe Worrall,28,Burnley FC,€4.9M
Borna Sosa,27,Crystal Palace,€4.9M
Connor Roberts,30,Burnley FC,€4.8M
Dane Scarlett,21,Tottenham,€4.7M
Jordan Beyer,25,Burnley FC,€4.7M
Raúl Jiménez,34,Fulham FC,€4.6M
David Møller Wolfe,23,Wolverhampton Wanderers,€4.2M
Danny Welbeck,34,Brighton & Hove Albion,€4.2M
Hjalmar Ekdal,27,Burnley FC,€4.2M
Leo Hjelde,22,Sunderland AFC,€4.2M
Kyle Walker,35,Burnley FC,€4.1M
Tyrone Mings,32,Aston Villa,€4M
Ben Davies,32,Tottenham,€3.9M
Reinildo Mandava,31,Sunderland AFC,€3.7M
Lewis Dunk,33,Brighton & Hove Albion,€3.6M
Axel Tuanzebe,27,Burnley FC,€3.6M
Marco Bizot,34,Aston Villa,€3.5M
Michael Keane,32,Everton FC,€3.2M
Naouirou Ahamada,23,Crystal Palace,€2.7M
Timothée Pembélé,23,Sunderland AFC,€2.5M
Freddie Woodman,28,Liverpool FC,€2.5M
Joshua Dasilva,27,Brentford FC,€2.4M
Hákon Valdimarsson,24,Brentford FC,€2.4M
Solly March,31,Brighton & Hove Albion,€2.4M
Ross Barkley,31,Aston Villa,€2.4M
Kieran Trippier,35,Newcastle United,€2.3M
Joël Veltman,33,Brighton & Hove Albion,€2.3M
Andrew Irving,25,West Ham United,€2.3M
Matt Doherty,33,Wolverhampton Wanderers,€2.3M
Abdoullah Ba,22,Sunderland AFC,€2.3M
Jamaal Lascelles,31,Newcastle United,€2M
George Earthy,21,West Ham United,€2M
Arthur Masuaku,32,Sunderland AFC,€1.9M
Callum Marshall,20,West Ham United,€1.9M
Caleb Kporha,19,Crystal Palace,€1.8M
Hannes Delcroix,26,Burnley FC,€1.8M
Jaydon Banel,21,Burnley FC,€1.7M
Jordan Henderson,35,Brentford FC,€1.7M
Angus Gunn,29,Nottingham Forest,€1.6M
Matai Akinmboni,19,Bournemouth,€1.6M
Aji Alese,24,Sunderland AFC,€1.6M
Idrissa Gueye,36,Everton FC,€1.6M
Josh Laurent,30,Burnley FC,€1.6M
Luke O'Nien,30,Sunderland AFC,€1.5M
Harrison Ashby,23,Newcastle United,€1.5M
Emil Krafth,31,Newcastle United,€1.5M
Benjamin Lecomte,34,Fulham FC,€1.4M
Ahmed Abdullahi,21,Sunderland AFC,€1.4M
Daniel Bentley,32,Wolverhampton Wanderers,€1.2M
Will Dennis,25,Bournemouth,€1.2M
Ian Poveda,25,Sunderland AFC,€1.2M
Harrison Jones,20,Sunderland AFC,€1.1M
Matthew Cox,22,Brentford FC,€1.1M
Tom Cairney,34,Fulham FC,€1M
James Milner,39,Brighton & Hove Albion,€1M
Nathaniel Clyne,34,Crystal Palace,€1M
Enock Agyei,20,Burnley FC,€1M
Rio Cardines,,Crystal Palace,€1M
Martin Dúbravka,36,Burnley FC,€1.0M
Willy Boly,34,Nottingham Forest,€0.9M
Paris Maghoma,24,Brentford FC,€0.9M
Adam Smith,34,Bournemouth,€0.9M
Myles Peart-Harris,23,Brentford FC,€0.9M
Łukasz Fabiański,40,West Ham United,€0.8M
Tawanda Chirewa,22,Wolverhampton Wanderers,€0.8M
Brandon Austin,26,Tottenham,€0.7M
Sam Byram,32,Leeds United,€0.7M
Alex Murphy,21,Newcastle United,€0.7M
Jason Steele,35,Brighton & Hove Albion,€0.7M
John Ruddy,39,Newcastle United,€0.7M
Ashley Barnes,36,Burnley FC,€0.7M
Tom McGill,25,Brighton & Hove Albion,€0.7M
Kieran Morrison,,Liverpool FC,€0.7M
Ellery Balcombe,26,Brentford FC,€0.7M
Blondy Nna Noukeu,24,Sunderland AFC,€0.7M
Séamus Coleman,37,Everton FC,€0.6M
Václav Hladký,34,Burnley FC,€0.6M
Joel Ward,36,Crystal Palace,€0.6M
Marcus Bettinelli,33,Manchester City,€0.6M
Harry Tyrer,23,Everton FC,€0.6M
Alex Cairns,32,Leeds United,€0.6M
Max Thompson,21,Newcastle United,€0.5M
Rhys Williams,24,Liverpool FC,€0.5M
Joe Anderson,24,Sunderland AFC,€0.5M
Jay Matete,24,Sunderland AFC,€0.5M
Tom King,30,Everton FC,€0.4M
Simon Moore,35,Sunderland AFC,€0.4M
Mark Gillespie,33,Newcastle United,€0.4M
Remi Matthews,31,Crystal Palace,€0.4M
Karl Darlow,35,Leeds United,€0.4M
Tom Heaton,39,Manchester United,€0.4M
Nikolaj Kirk,27,Brentford FC,€0.2M
Josuha Guilavogui,35,Leeds United,€0.1M
Julian Eyestone,19,Brentford FC,€0.1M
Max Dowman,16,Arsenal FC,€0.1M
